,Entity,Code,Year,Hydro (TWh growth – sub method),color
510,Bulgaria,BGR,1976,1.392,D
511,Bulgaria,BGR,1977,1.597,D
512,Bulgaria,BGR,1978,-1.722,E
513,Bulgaria,BGR,1979,1.117,D
514,Bulgaria,BGR,1980,1.117,D
515,Bulgaria,BGR,1981,-0.264,E
516,Bulgaria,BGR,1982,-1.578,E
517,Bulgaria,BGR,1983,0.8420000000000001,D
518,Bulgaria,BGR,1984,-0.258,E
519,Bulgaria,BGR,1985,-2.842,E
520,Bulgaria,BGR,1986,0.247,D
521,Bulgaria,BGR,1987,0.586,D
522,Bulgaria,BGR,1988,0.16399999999999998,D
523,Bulgaria,BGR,1989,0.264,D
524,Bulgaria,BGR,1990,-2.258,E
525,Bulgaria,BGR,1991,1.564,D
526,Bulgaria,BGR,1992,-1.05,E
527,Bulgaria,BGR,1993,-0.336,E
528,Bulgaria,BGR,1994,-1.317,E
529,Bulgaria,BGR,1995,2.35,D
530,Bulgaria,BGR,1996,1.681,D
531,Bulgaria,BGR,1997,-0.45799999999999996,E
532,Bulgaria,BGR,1998,0.953,D
533,Bulgaria,BGR,1999,-0.956,E
534,Bulgaria,BGR,2000,-0.222,E
535,Bulgaria,BGR,2001,-2.6310000000000002,E
536,Bulgaria,BGR,2002,1.222,D
537,Bulgaria,BGR,2003,2.2359999999999998,D
538,Bulgaria,BGR,2004,0.324,D
539,Bulgaria,BGR,2005,3.09,D
540,Bulgaria,BGR,2006,-0.33799999999999997,E
541,Bulgaria,BGR,2007,-3.694,E
542,Bulgaria,BGR,2008,-0.179,E
543,Bulgaria,BGR,2009,1.649,D
544,Bulgaria,BGR,2010,4.082,D
545,Bulgaria,BGR,2011,-5.626,F
546,Bulgaria,BGR,2012,0.75,D
547,Bulgaria,BGR,2013,2.136,D
548,Bulgaria,BGR,2014,1.274,D
549,Bulgaria,BGR,2015,2.602,D
550,Bulgaria,BGR,2016,-4.408,E
551,Bulgaria,BGR,2017,-2.843,E
552,Bulgaria,BGR,2018,5.721,C
553,Bulgaria,BGR,2019,-4.3180000000000005,E
554,Canada,CAN,1966,35.867,A
555,Canada,CAN,1967,8.122,C
556,Canada,CAN,1968,6.322,C
557,Canada,CAN,1969,40.106,A
558,Canada,CAN,1970,20.831,B
559,Canada,CAN,1971,12.011,B
560,Canada,CAN,1972,53.272,A
561,Canada,CAN,1973,36.153,A
562,Canada,CAN,1974,44.481,A
563,Canada,CAN,1975,-22.769000000000002,G
564,Canada,CAN,1976,28.386,A
565,Canada,CAN,1977,20.717,B
566,Canada,CAN,1978,41.964,A
567,Canada,CAN,1979,24.631,B
568,Canada,CAN,1980,19.519000000000002,B
569,Canada,CAN,1981,41.297,A
570,Canada,CAN,1982,-22.833000000000002,G
571,Canada,CAN,1983,22.658,B
572,Canada,CAN,1984,56.031000000000006,A
573,Canada,CAN,1985,48.672,A
574,Canada,CAN,1986,19.417,B
575,Canada,CAN,1987,15.475,B
576,Canada,CAN,1988,-24.364,G
577,Canada,CAN,1989,-47.181000000000004,H
578,Canada,CAN,1990,14.538,B
579,Canada,CAN,1991,32.202,A
580,Canada,CAN,1992,21.941,B
581,Canada,CAN,1993,19.553,B
582,Canada,CAN,1994,15.671,B
583,Canada,CAN,1995,17.234,B
584,Canada,CAN,1996,57.034,A
585,Canada,CAN,1997,-16.423,G
586,Canada,CAN,1998,-49.471000000000004,H
587,Canada,CAN,1999,39.251999999999995,A
588,Canada,CAN,2000,32.665,A
589,Canada,CAN,2001,-76.08800000000001,H
590,Canada,CAN,2002,42.777,A
591,Canada,CAN,2003,-41.924,H
592,Canada,CAN,2004,0.282,D
593,Canada,CAN,2005,57.568999999999996,A
594,Canada,CAN,2006,-30.363000000000003,H
595,Canada,CAN,2007,33.242,A
596,Canada,CAN,2008,19.979,B
597,Canada,CAN,2009,-29.238000000000003,H
598,Canada,CAN,2010,-51.048,H
599,Canada,CAN,2011,57.486999999999995,A
600,Canada,CAN,2012,5.8020000000000005,C
601,Canada,CAN,2013,23.598000000000003,B
602,Canada,CAN,2014,-29.642,H
603,Canada,CAN,2015,-6.574,F
604,Canada,CAN,2016,2.425,D
605,Canada,CAN,2017,17.186,B
606,Canada,CAN,2018,-27.413,H
607,Canada,CAN,2019,-13.198,G
608,Chile,CHL,1966,0.594,D
609,Chile,CHL,1967,0.242,D
610,Chile,CHL,1968,-1.9169999999999998,E
611,Chile,CHL,1969,1.275,D
612,Chile,CHL,1970,0.7859999999999999,D
613,Chile,CHL,1971,1.3940000000000001,D
614,Chile,CHL,1972,2.5580000000000003,D
615,Chile,CHL,1973,-0.375,E
616,Chile,CHL,1974,2.136,D
617,Chile,CHL,1975,0.067,D
618,Chile,CHL,1976,0.586,D
619,Chile,CHL,1977,1.028,D
620,Chile,CHL,1978,0.7829999999999999,D
621,Chile,CHL,1979,0.547,D
622,Chile,CHL,1980,1.175,D
623,Chile,CHL,1981,0.775,D
624,Chile,CHL,1982,2.122,D
625,Chile,CHL,1983,1.942,D
626,Chile,CHL,1984,1.006,D
627,Chile,CHL,1985,3.042,D
628,Chile,CHL,1986,2.1109999999999998,D
629,Chile,CHL,1987,2.758,D
630,Chile,CHL,1988,-0.736,E
631,Chile,CHL,1989,-5.597,F
632,Chile,CHL,1990,-4.449,E
633,Chile,CHL,1991,11.651,B
634,Chile,CHL,1992,10.012,B
635,Chile,CHL,1993,1.325,D
636,Chile,CHL,1994,-0.644,E
637,Chile,CHL,1995,3.967,D
638,Chile,CHL,1996,-4.279,E
639,Chile,CHL,1997,5.749,C
640,Chile,CHL,1998,-8.35,F
641,Chile,CHL,1999,-6.556,F
642,Chile,CHL,2000,15.289000000000001,B
643,Chile,CHL,2001,6.827999999999999,C
644,Chile,CHL,2002,3.7460000000000004,D
